Temperature(K),Pressure(Atm),CompressibilityFactor(Z)
273.1,24.675,0.806677258
283.1,24.675,0.833668237
293.1,24.675,0.85717511
303.1,24.675,0.875405969
313.1,24.675,0.888394713
323.1,24.675,0.898657462
333.1,24.675,0.909577934
343.1,24.675,0.91662811
353.1,24.675,0.92357514
363.1,24.675,0.932594778
373.1,24.675,0.938812658
383.1,24.675,0.944284254
393.1,24.675,0.951458126
403.1,24.675,0.954827118
413.1,24.675,0.959609025
423.1,24.675,0.962874309
433.1,24.675,0.967432603
443.1,24.675,0.970160345
453.1,24.675,0.970812652
463.1,24.675,0.972464764
473.1,24.675,0.971741051
483.1,24.675,0.975332347
493.1,24.675,0.976401165
513.1,24.675,0.992477393
523.1,24.675,0.984868262
533.1,24.675,0.985568381
543.1,24.675,0.991016934
553.1,24.675,0.989183722
563.1,24.675,0.99211522
573.1,24.675,0.991538669
583.1,24.675,0.991556491
593.1,24.675,0.992168748
603.1,24.675,0.993377647
273.1,49.35,0.102389236
283.1,49.35,0.108261083
293.1,49.35,0.634899906
303.1,49.35,0.698365433
313.1,49.35,0.745155741
323.1,49.35,0.779064264
333.1,49.35,0.807897474
343.1,49.35,0.829893407
353.1,49.35,0.849312586
363.1,49.35,0.863064043
373.1,49.35,0.876225147
383.1,49.35,0.888452538
393.1,49.35,0.899375638
403.1,49.35,0.90986296
413.1,49.35,0.919682681
423.1,49.35,0.928587983
433.1,49.35,0.936320681
443.1,49.35,0.944105486
453.1,49.35,0.948748728
463.1,49.35,0.951429752
473.1,49.35,0.955158439
483.1,49.35,0.959959333
493.1,49.35,0.965864462
513.1,49.35,0.975592144
523.1,49.35,0.977263101
533.1,49.35,0.979736616
543.1,49.35,0.983024862
553.1,49.35,0.985113007
563.1,49.35,0.985875501
573.1,49.35,0.987301324
583.1,49.35,0.989396237
593.1,49.35,0.989968817
603.1,49.35,0.99113526
273.1,74.025,0.152456928
283.1,74.025,0.157470667
293.1,74.025,0.167307883
303.1,74.025,0.2000737
313.1,74.025,0.550380759
323.1,74.025,0.636316464
333.1,74.025,0.69087872
343.1,74.025,0.730872035
353.1,74.025,0.765768904
363.1,74.025,0.792131553
373.1,74.025,0.815795827
383.1,74.025,0.836823334
393.1,74.025,0.851262451
403.1,74.025,0.863612257
413.1,74.025,0.878910642
423.1,74.025,0.890704413
433.1,74.025,0.900909732
443.1,74.025,0.910079349
453.1,74.025,0.918913863
463.1,74.025,0.927258294
473.1,74.025,0.934949073
483.1,74.025,0.941815772
493.1,74.025,0.946569872
513.1,74.025,0.958084612
523.1,74.025,0.963621104
533.1,74.025,0.967648956
543.1,74.025,0.972567151
553.1,74.025,0.975743726
563.1,74.025,0.978354953
573.1,74.025,0.980318995
583.1,74.025,0.982971586
593.1,74.025,0.986323866
603.1,74.025,0.98742036
273.1,98.7,0.200129219
283.1,98.7,0.204677409
293.1,98.7,0.211336273
303.1,98.7,0.223441217
313.1,98.7,0.265125946
323.1,98.7,0.420187442
333.1,98.7,0.554373162
343.1,98.7,0.622922412
353.1,98.7,0.677149448
363.1,98.7,0.722426068
373.1,98.7,0.756251859
383.1,98.7,0.783247676
393.1,98.7,0.805298689
403.1,98.7,0.823725463
413.1,98.7,0.840680431
423.1,98.7,0.85676701
433.1,98.7,0.871585752
443.1,98.7,0.884051438
453.1,98.7,0.897051752
463.1,98.7,0.908354696
473.1,98.7,0.917578435
483.1,98.7,0.925906722
493.1,98.7,0.933137517
